File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location
23-003429,11/15/2023,2023,11,300 Block,East Scovill Street,11/15/2023,Municipal Waste,Voluntarily Complied,11/30/2023,Phone,false,0,"300 East Scovill Street
Urbana, IL
(40.08517, -88.20398)"
20-001676,08/25/2020,2020,8,1200 Block,East Windsor Road,08/25/2020,Weeds/Grass,City Abated,11/17/2020,Phone,false,1605,"1200 East Windsor Road
Urbana, IL
(40.08381, -88.19171)"
21-001733,08/03/2021,2021,8,1100 Block,South Philo Road,,,City Abated,08/03/2021,Internet,true,0,"1100 South Philo Road
Urbana, IL
(40.10433, -88.19283)"
1605082,05/17/2016,2016,5,700 BLOCK,W Green St,05/17/2016,Weeds/Grass,Owner Abated,05/25/2016,Not Available,false,0,"700 W Green St
Urbana, IL
(40.11064, -88.21617)"
706009,06/04/2007,2007,6,1300 BLOCK,E Pennsylvania Av,06/05/2007,Weeds/Grass,Owner Abated,06/13/2007,Not Available,false,0,"1300 E Pennsylvania Av
Urbana, IL
(40.09959, -88.1931)"
1009053,09/29/2010,2010,9,1300 BLOCK,E Laurel Dr,09/30/2010,Weeds/Grass,Owner Abated,10/08/2010,Not Available,false,0,"1300 E Laurel Dr
Urbana, IL
(40.10139, -88.19272)"
809021,09/18/2008,2008,9,1300 BLOCK,E Pennsylvania Av,09/18/2008,Weeds/Grass,Owner Abated,09/26/2008,Not Available,false,0,"1300 E Pennsylvania Av
Urbana, IL
(40.09959, -88.1931)"
709046,09/12/2007,2007,9,200 BLOCK,S Poplar St,09/13/2007,Municipal Waste,Owner Abated,09/21/2007,Not Available,false,0,"200 S Poplar St
Urbana, IL
(40.11128, -88.19449)"
19-001965,09/12/2019,2019,9,300 Block,East Florida Avenue,09/12/2019,Weeds/Grass,Voluntarily Complied,09/20/2019,Phone,false,0,"300 East Florida Avenue
Urbana, IL
(40.09833, -88.20473)"
21-002634,11/04/2021,2021,11,200 Block,"South ""Cottage Grove"" Avenue",11/04/2021,Weeds/Grass,Voluntarily Complied,11/15/2021,Phone,false,0,"200 South Cottage Grove Avenue
Urbana, IL
(40.1113, -88.19575)"
18-000739,07/09/2018,2018,7,500 Block,S Vine Street,07/09/2018,Weeds/Grass,Voluntarily Complied,07/17/2018,Phone,false,0,"500 S Vine Street
Urbana, IL
(40.10916, -88.20491)"
1106011,06/03/2011,2011,6,1800 BLOCK,S Larch Pl,06/03/2011,Weeds/Grass,Owner Abated,06/11/2011,Not Available,false,0,"1800 S Larch Pl
Urbana, IL
(40.09665, -88.19709)"
1105050,05/11/2011,2011,5,1500 BLOCK,Trials Dr,05/11/2011,Weeds/Grass,Owner Abated,05/19/2011,Not Available,false,0,"1500 Trials Dr
Urbana, IL
(40.0779, -88.19018)"
1401005,01/09/2014,2014,1,1800 BLOCK,S Philo Rd,01/09/2014,Snow Removal,Owner Abated,01/10/2014,Not Available,false,0,"1800 S Philo Rd
Urbana, IL
(40.09641, -88.19067)"
23-001948,07/06/2023,2023,7,400 Block,West Vermont Avenue,07/06/2023,Weeds/Grass,City Abated,08/30/2023,Phone,false,349.5,"400 West Vermont Avenue
Urbana, IL
(40.09987, -88.21215)"
707058,07/24/2007,2007,7,800 BLOCK,S Cottage Grove Av,07/25/2007,Weeds/Grass,City Abated,08/02/2007,Not Available,false,0,"800 S Cottage Grove Av
Urbana, IL
(40.10693, -88.19567)"
1505058,05/14/2015,2015,5,800 BLOCK,W Sunset Dr,05/14/2015,Weeds/Grass,Owner Abated,05/22/2015,Not Available,false,0,"800 W Sunset Dr
Urbana, IL
(40.12369, -88.21718)"
17-000269,10/16/2017,2017,10,1400 Block,East Florida Avenue,,Weeds/Grass,Voluntarily Complied,11/01/2017,Phone,false,0,"1400 East Florida Avenue
Urbana, IL
(40.0984, -88.1915)"
23-000460,02/28/2023,2023,2,100 Block,North Poplar Street,,,Addressed under different complaint file,03/06/2023,Internet,true,0,"100 North Poplar Street
Urbana, IL
(40.11311, -88.19466)"
1105116,05/24/2011,2011,5,1400 BLOCK,S Ogelthorpe Av,05/25/2011,Weeds/Grass,Owner Abated,06/02/2011,Not Available,false,0,"1400 S Ogelthorpe Av
Urbana, IL
(40.10171, -88.17493)"
22-002753,08/25/2022,2022,8,1200 Block,West Ellis Drive,08/25/2022,Municipal Waste,Voluntarily Complied,09/02/2022,Phone,false,0,"1200 West Ellis Drive
Urbana, IL
(40.12405, -88.22434)"
1312006,12/06/2013,2013,12,1400 BLOCK,E Silver St,12/06/2013,Municipal Waste,Owner Abated,12/14/2013,Not Available,false,0,"1400 E Silver St
Urbana, IL
(40.09149, -88.1916)"
906048,06/19/2009,2009,6,700 BLOCK,W Springfield Av,06/19/2009,Weeds/Grass,Owner Abated,06/27/2009,Not Available,false,0,"700 W Springfield Av
Urbana, IL
(40.11281, -88.21622)"
23-002436,08/21/2023,2023,8,1900 Block,"East ""Country Squire"" Drive",08/21/2023,Weeds/Grass,Voluntarily Complied,08/29/2023,Phone,false,0,"1900 East Country Squire Drive
Urbana, IL
(40.10274, -88.18505)"
705042,05/09/2007,2007,5,1400 BLOCK,N Romine St,05/10/2007,Weeds/Grass,City Abated,05/18/2007,Not Available,false,0,"1400 N Romine St
Urbana, IL
(40.12494, -88.22748)"
24-001471,05/20/2024,2024,5,2700 Block,East Florida Avenue,05/20/2024,Weeds/Grass,Voluntarily Complied,05/28/2024,Phone,false,0,"2700 East Florida Avenue
Urbana, IL
(40.09848, -88.17244)"
303061,03/26/2003,2003,3,1900 BLOCK,A E Florida Av,,Municipal Waste,Owner Abated,,Not Available,false,0,"1900 A E Florida Av
Urbana, IL
(40.09879, -88.18341)"
607062,07/31/2006,2006,7,1300 BLOCK,E Fairlawn Dr,,Municipal Waste,Owner Abated,,Not Available,false,0,"1300 E Fairlawn Dr
Urbana, IL
(40.10243, -88.19332)"
1408028,08/11/2014,2014,8,1500 BLOCK,S Smith Rd,08/11/2014,Weeds/Grass,City Abated,08/19/2014,Not Available,false,0,"1500 S Smith Rd
Urbana, IL
(40.09996, -88.17604)"
19-000818,05/08/2019,2019,5,400 Block,East Main Street,05/08/2019,Weeds/Grass,Voluntarily Complied,05/16/2019,Phone,false,0,"400 East Main Street
Urbana, IL
(40.11257, -88.20362)"
21-001147,05/27/2021,2021,5,1000 Block,"South ""Cottage Grove"" Avenue",05/27/2021,Municipal Waste,City Abated,09/28/2021,Phone,false,530,"1000 South Cottage Grove Avenue
Urbana, IL
(40.10447, -88.19563)"
